Top 2000 HathiTrust Open Titles, May 2014-May 2017


Title |  Uses | Publication Date
Mechanick exercises : or, The doctrine of handy-works ; applied to the arts of smithing, joinery, carpentry, turning, bricklayery ; to which is added, Mechanick dyalling: shewing how to draw a true sun-dyal on any given plane, however scituated ; only with the help of a straight ruler and a pair of compasses, and without any arithmetical calculation. / | 73939 views | 1703
West Virginia place names, their origin and meaning, including the nomenclature of the streams and mountains, | 73414 views | 1945
Sheet metal pattern layouts; a practical, | 72399 views | 1953
Bradshaw's handbook for tourists in Great Britain & Ireland, (in four sections). | 70910 views | 1866
Insularismo; ensayos de interpretación puertorriqueña. | 70876 views | 1912
Crosses in the wind, | 69937 views | 1947
[Publications] | 69217 views | 9999
Colorado Brand Book 1938. | 67268 views | 1938
The power of sexual surrender / | 65819 views | 1959
The Sunlight book of knitting and crocheting, | 63900 views | 1915
Modern church architecture; a guide to the form and spirit of 20th century religious buildings, | 63530 views | 1962
Topographical dictionary of 2885 English emigrants to New England, 1620-1650, | 62734 views | 1937
The Jew in the medieval world, a source book, 315-1791, | 62667 views | 1938
ASTM-IP petroleum measurement tables : ASTM designation D1250, IP designation 200 / | 61202 views | 1953
History of Clermont County, Ohio, with illustrations and biographical sketches of its prominent men and pioneers. | 59824 views | 1880
Somatic development of adolescent boys; a study of the growth of boys during the second decade of life, | 59469 views | 1951
Analysis of inventory systems [by] G. Hadley [and] T.M. Whitin. | 58901 views | 1963
Why England slept | 58769 views | 1940
The Fish family in England and America : genealogical and biographical records and sketches / | 58591 views | 1948
The visitations of the county of Devon : Comprising the herald's visitations of 1531, 1564, & 1620 / | 56934 views | 1895
Sikes 1939 catalog 1940. Modern Old Chatham Colonist Craft. | 56421 views | 1939
Design of equilibrium stage processes / Buford D. Smith. | 56229 views | 1963
Brand book : with names of members alphabetically arranged. | 55240 views | 1916
Advanced organic chemistry. | 55096 views | 1960
Elementary crystallography; an introduction to the fundamental geometrical features of crystals. | 54026 views | 1956
The Lady's book. | 53458 views | 1839
Bad boys : public schools in the making of black masculinity / | 52960 views | 2000
Mary Meigs Atwater Recipe book : patterns for handweavers / | 51624 views | 1957
The Zodiac and the salts of salvation. | 51454 views | 1932
A compilation of the original lists of the Protestant immigrants to South Carolina, 1763-1773. | 51374 views | 1939
... The Kentucky land grants; a systematic index to all of the land grants recorded in the state Land office at Frankfort, Kentucky, 1782-1924, | 50212 views | 1925
Strong medicine. | 49755 views | 1962
Physical and biophysical foundations of pharmacy practice : issues in drug delivery / | 49545 views | 9999
Color in sketching and rendering, | 49441 views | 1935
Abstracts of old Ninety-six and Abbeville District wills and bonds, as on file in the Abbeville, South Carolina, courthouse. | 49209 views | 1950
Confusion des confusiones, 1688. | 49022 views | 1957
Birth control review. | 48838 views | 1919
Miranda / | 48465 views | 1915
Godey's magazine. | 48367 views | 1861
Drawing with pen and ink, and a word concerning the brush, | 48054 views | 1928
Comparative anatomy of the vertebrates. | 47957 views | 1954
Holes, contours and surfaces : located, machined, ground, and inspected by precision methods / | 47719 views | 1955
Boxes for the protection of books : their design and construction / | 47640 views | 1994
Writings of Junípero Serra / | 47418 views | 9999
Introduction to electromagnetic engineering. | 47202 views | 1958
Principles of highway engineering / | 46957 views | 1928
Eric Mendelsohn. | 46751 views | 1956
A genealogy of the Quick family in America (1625-1942) 317 years, | 46451 views | 1942
Color psychology and color therapy : a factual study of the influence of color on human life / | 46445 views | 1961
Principles of transistor circuits / | 46009 views | 1953
Paliques / | 45452 views | 1952
A change is gonna come : music, race & the soul of America / | 45430 views | 2006
The Devil in Massachusetts, a modern inquiry into the Salem witch trials. | 45150 views | 1949
The London stage, 1660-1800; a calendar of plays, entertainments & afterpieces, together with casts, box-receipts and contemporary comment. | 44802 views | 1968
Encyclopedia of American Quaker genealogy, | 44586 views | 9999
Hopewell Friends history, 1734-1934, Frederick County, Virginia; records of Hopewell Monthly Meetings and meetings reporting to Hopewell; two hundred years of history and genealogy, | 44549 views | 1936
The forge in the forest / | 43889 views | 1925
Brand book of the territory of New Mexico, showing all the brands on cattle, horses, mules and asses, re-recorded under the provisions of the act, approved February 16th, 1899, and other brands recorded since May 1st, 1899, up to December 31st, 1906. | 43708 views | 1907
Letters of a Peruvian princess : translated from the French, with the sequel taken from a Spanish manuscript, embellished with superb engravings. | 43559 views | 1802
Locomotive cyclopedia of American practice, 1950-52 : definitions, drawings and illustrations of diesel, steam, electric and turbine locomotives for railroad, industrial and foreign service; their parts and equipment; descriptions and illustrations of locomotive shops and servicing facilities / | 42844 views | 1950
Airplane aerodynamics, | 42408 views | 1961
Magnetic circuits and transformers; a first course for power and communication engineers, | 42288 views | 1943
An historico-geographical description of the north and eastern parts of Europe and Asia, but more particularly of Russia, Siberia, and Great Tartary; both in their ancient and modern state: together with an entire new polyglot-table of the dialects of 32 Tartarian nations, and a vocabulary of the Kalmuck-Mungalian tongue. | 42001 views | 1738
Alternating-current circuits / | 41855 views | 1951
Built in USA: post-war architecture, | 41719 views | 1952
Theogony ; and, Works and days / | 41188 views | 2006
[Publications] | 41005 views | 9999
Rogers' Inorganic pharmaceutical chemistry, | 39947 views | 1961
Theory of land locomotion : the mechanics of vehicle mobility / | 39886 views | 1962
Introduction to ligand field theory. | 39867 views | 1962
Airway bulletin. no. 1-2. | 39724 views | 1938
Architecture: nineteenth and twentieth centuries. | 39724 views | 1958
The Aeneid of Virgil : being the Latin text in the original order, with the scansion indicated graphically, with a literal interlinear translation and with an elegant translation in the margin and footnotes in which every word is completely parsed, the constructions and context and scansion explained, with references to the revised grammars of Allen & Greenough, Bennett, Gildersleeve and Harkness / | 39094 views | 1901
Manual of lathe operation and machinists tables. | 38981 views | 1960
The Hazen family in America, a genealogy by Tracy Elliot Hazen, PH. D., | 38797 views | 1947
The fool; his social and literary history, | 38721 views | 1935
Annual report. | 38682 views | 1865
Godey's magazine. | 38363 views | 1865
Vanity fair. | 38244 views | 1922
Physical pharmacy; physical chemical principles in pharmaceutical science. | 37513 views | 1960
Arithmetic for the practical man / | 37480 views | 1946
Thomas Jefferson architect and builder / | 36919 views | 1931
Elements of production planning and control. | 36851 views | 1962
The teacher's word book of 30,000 words / | 36550 views | 1944
Advanced organic chemistry. | 36299 views | 1960
The Ladies' home journal. | 36227 views | 1921
The history of Salem, Massachusetts, | 36178 views | 1928
Wife no. 19, or the story of a life in bondage : being a complete exposé of Mormonism, and revealing the sorrows, sacrifices and sufferings of women in polygamy / | 36158 views | 1875
Geology of petroleum. | 36154 views | 1956
The abridged compendium of American genealogy; first families of America; a genealogical encyclopedia of the United States, | 35997 views | 9999
A briefer history of Aintab; a concise history of the cultural, religious, educational, political, industrial and commercial life of the Armenians of Aintab / | 35943 views | 1957
Frankenstein : or, The modern Prometheus, / | 35829 views | 1891
Pennsylvania German pioneers; a publication of the original lists of arrivals in the port of Philadelphia from 1727 to 1808, | 35441 views | 1934
Pease & Elliman's catalogue of East Side of New York apartment plans, | 35368 views | 1925
The light of Egypt; or, The science of the soul and the stars, | 35294 views | 1963
Memoir of Colonel Benjamin Tallmadge; | 35277 views | 1904
Annual Report of the Board of Directors of the Lehigh Valley Railroad Company to the Stockholders | 35104 views | 1913
Pearson's magazine. | 34965 views | 1901
The Sphere of Sacrobosco and its commentators. | 34570 views | 1949
Gorgias; | 34517 views | 1952
Four walking tours of modern architecture in New York City. | 34471 views | 1961
Godey's magazine. | 34419 views | 1862
Ways that are dark: the truth about China, | 34375 views | 1934
The rights of man / | 34342 views | 1915
Crime and the community / | 34265 views | 1938
Readings in public choice economics / | 34123 views | 2004
Mitchell's modern atlas : a series of forty-four copperplate maps... drawn and engraved expressly to illustrate Mitchell's geographical tables, and an extensive pronouncing vocabulary of nearly ten thousand names. | 34022 views | 1866
Babbitt, | 33962 views | 1922
A history of the Methodist Episcopal church: v. 1 '44 | 33935 views | 1853
Pictures and biographies of Brigham Young and his wives. Being a true and correct statement of the birth, life and death of President Brigham Young, second president of the Church of Jesus Christ of Latter-Day Saints, and brief biographies of his twenty-six wives, and names and number of children born to them. | 33928 views | 1887
The lives and bloody exploits of the most noted pirates, their trials and executions, including correct accounts of the late piracies, committed in the West Indias, and the expedition of Commodore Porter; also those committed on the Brig Mexican, who were executed at Boston, in 1835. Embellished with numerous plates from original designs. | 33746 views | 1836
Microwave principles / | 33700 views | 1957
Alphabetical general index to public library sets of 85,271 names of Michigan soldiers and sailors individual records published under authority of Act 147, Public acts of 1903, and supplemental act 165, Public acts of 1913, | 33632 views | 1915
Colorado brand book, 1948. | 33602 views | 1948
Dynamics of machinery / | 33552 views | 1955
Richard Haines and his descendants : a Quaker family of Burlington County, New Jersey since 1682 / | 33435 views | 1966
Simon Stone genealogy : ancestry and descendants of Deacon Simon Stone Watertown, Mass., 1320-1926 / | 33212 views | 1926
Highway safety, design, and operations; freeway signing and related geometrics. Hearings, Ninetieth Congress, second session. | 33054 views | 1968
The Ladies' home journal. | 32998 views | 1922
The Colored American magazine. | 32946 views | 1901
Schaum's outline of theory and problems of machine design / | 32844 views | 1961
Sticks and stones, a study of American architecture and civilization. | 32642 views | 1924
An unwilling guest / | 32583 views | 1902
Balkan battlegrounds : a military history of the Yugoslav conflict, 1990-1995. | 32480 views | 2003
Aircraft propeller design, | 32452 views | 1930
Navy directory. Officers of the United States Navy and Marine Corps, also including officers of the U.S. Naval Reserve Force, Marine Corps Reserve, Coast Guard, Coast and Geodetic Survey, Public Health Service, and foreign officers serving with the Navy. | 32353 views | 1941
Personality projection in the drawing of the human figure : a method of personality investigation / | 32337 views | 1949
Archaeological atlas of Michigan | 32216 views | 1931
Hale, House, and related families, mainly of the Connecticut River Valley, | 32145 views | 1952
The Brenneman history, | 32054 views | 1938
The Chapin book of genealogical data, with brief biographical sketches, of the descendants of Deacon Samuel Chapin, | 31914 views | 1924
Theoretical nuclear physics / | 31899 views | 1952
Hortus gallicus pro Gallis in Gallia scriptus... /  | 31883 views | 1533
The master key to success at golf. | 31794 views | 1962
Principles of tile engineering; handbook of design, | 31630 views | 1947
Principles and practice of flow meter engineering, | 31435 views | 1949
The house of mirth, | 31232 views | 1905
Topographical dictionary of 2885 English emigrants to New England, 1620-1650. | 31166 views | 1963
Theory of lattice dynamics in the harmonic approximation / | 31052 views | 1963
The Ladies' home journal. | 30993 views | 1913
Mathematics underlying the design of pneumatic tires. | 30757 views | 1963
Aldermans in America | 30699 views | 1957
The Abell family in America; Robert Abell of Rehoboth, Mass., his English ancestry and his descendants, other Abell families and immigrants, Abell families in England, | 30553 views | 1940
The stall plates of the knights of the Order of the Garter, 1348-1485 : a series of ninety full-sized coloured facsimiles / | 30482 views | 1901
The military chaplaincy; a report to the President, October 1, 1950. | 30368 views | 1950
Originality, imitation, and plagiarism : teaching writing in the digital age / | 30312 views | 2008
Men of West Virginia ... | 30308 views | 1903
Golden jubilee catalog. | 30259 views | 1936
The Aphrodite of Knidos and her successors : a historical review of the female nude in Greek art / | 30025 views | 1995
Tribes of the Rif, | 29846 views | 1931
Diffusion in solids. | 29832 views | 1963
Bass families of the South; a collection of historical and genealogical source materials from public and private records. | 29811 views | 1961
Assessment of men; selection of personnel for the Office of Strategic Services. | 29802 views | 1948
The Indian succession act, 1865 (Act X of 1865) with a commentary, and the Parsee succession act, 1865, Acts XII and XIII of 1855, and the acts relating to the administrator general, with notes, | 29756 views | 1865
Job demands and worker health : main effects and occupational differences / | 29694 views | 1975
Sears; [catalog] | 29615 views | 1897
Cassells' carpentry and joinery, | 29568 views | 1907
War in New Guinea, official war photographs of the battle for Australia | 29567 views | 1943
Scientific glassblowing ; with a pref. by G. Ross Robertson. | 29563 views | 1958
The Cosmopolitan. | 29470 views | 1922
Totius Latinitatis lexicon / | 29239 views | 1805
A comprehensive study of Egyptian Arabic / | 29206 views | 9999
Records of Crum Elbow precinct, Dutchess county, New York, 1738-1761, together with records of Charlotte precinct, 1762-1785, records of Clinton precinct, 1786-1788, and records of the town of Clinton, 1789-1799, | 29176 views | 1940
County genealogies. Pedigrees of the families in the county of Sussex; collected from the heraldic visitations and other authentic manuscripts in the British Museum, and in the possession of private individuals, and from the information of the present resident families. | 29157 views | 1830
The Ladies' home journal. | 29112 views | 1922
Piano atlas; contains names of piano, dates of manufacture, and serial numbers. | 29029 views | 1961
Principles of neurodynamics; perceptrons and the theory of brain mechanisms. | 28988 views | 1962
The story of the Persian war from Herodotus / | 28963 views | 1882
Physical chemistry; a brief course with laboratory experiments, | 28933 views | 1940
Harper's weekly. | 28922 views | 1893
Calendar of inquisitions miscellaneous, Chancery, preserved in the Public Record Office, | 28921 views | 9999
Ladies' home journal and practical housekeeper. | 28873 views | 1887
Carmina burana. Lateinische und deutsche Lieder und Gedichte einer Handschrift des XIII. Jahrhunderts aus Benidictbeuren auf der K. Bibliothek zu München. | 28738 views | 1847
Colorado brand book, 1957. | 28714 views | 1957
Illustrated trade catalogue and price list : manufacturers, importers and jobbers of watchmakers', jewelers' and engravers' supplies of every description : optical goods, chains, charms, etc. : originators of the box matetial [sic] and makers of Swartchild's celebrated watchmakers' benches : 1897-1898 / | 28594 views | 1897
The history of piracy, | 28517 views | 1934
Blackberry winter, | 28407 views | 1946
Bosworth genealogy; a history of the descendants of Edward Bosworth who arrived in America in the year 1634; with an appendix containing other lines of American Bosworths. | 28391 views | 9999
Combat history of the 324th Infantry Regiment, 44th Infantry Division. | 28371 views | 1946
Dictionnaire des sciences naturelles, dans lequel on traite méthodiquement des différens êtres de la nature, considérés soit en eux-mêmes, d'après l'état actuel de nos connoissances, soit relativement à l'utilité qu'en peuvent retirer la médecine, l'agriculture, le commerce et les artes. Suivi d'une biographie des plus célèbres naturalistes. | 28331 views | 1830
Fray Juan Crespi, missionary explorer on the Pacific coast, 1769-1774, | 28272 views | 1927
Amateur Radio Stations of the U.S. | 28230 views | 1931
Heat transfer. | 28161 views | 1961
Charles parish : York country, Virginia, history and registers, births 1648-1789, deaths 1665-1787 / | 27982 views | 1932
Bergey's manual of determinative bacteriology; | 27941 views | 1925
God wills the Negro; an anthropological and geographical restoratin of the lost history of the American Negro people, | 27854 views | 1939
Practical dress design, a laboratory manual in fitting and free-hand pattern making | 27847 views | 1933
Trukese-English and English-Trukese dictionary, : with notes on pronunciation, grammar, vocabularies, phrases. | 27829 views | 1947
Pattern drafting, pattern grading, garment making [and] garment fitting, | 27796 views | 1939
Theory of hydrodynamic lubrication / | 27731 views | 1961
A dictionary of the proverbs in England in the sixteenth and seventeenth centuries : a collection of the proverbs found in English literature and the dictionaries of the period /. by Morris Palmer Tilley. | 27688 views | 1950
[Publications] | 27684 views | 9999
Clothes for you, | 27511 views | 1954
The Ladies' home journal. | 27404 views | 1917
Colonial families of the southern states of America; a history and genealogy of colonial families who settled in the colonies prior to the revolution. | 27340 views | 1958
Pilot plants, models, and scale-up methods in chemical engineering | 27289 views | 1957
Lailí and Majnún; a poem. From the original Persian of Nazámi. | 27261 views | 1836
Principles of soil mechanics / | 27179 views | 1963
Pomponius Mela's description of the world / | 27075 views | 1998
Research in physiopathology as basis of guided chemotherapy; with special application to cancer. | 27052 views | 1961
A Modern archives reader : basic readings on archival theory and practice / | 27039 views | 1984
The Saturday evening post. | 27025 views | 1922
The Ladies' home journal. | 27013 views | 1916
Libro de descripcion de verdaderos retratos, de illustres y memorables varones / | 26966 views | 1599
With the makers of San Antonio; genealogies of the early Latin, Anglo-American, and German families with occasional biographies ; | 26959 views | 1937
Campbell chronicles and family sketches, embracing the history of Campbell county, Virginia, 1782-1926, | 26946 views | 1927
Songs for all seasons / | 26933 views | 1865
Marifetname, [1220, i.e. 1806]. | 26917 views | 1806
Mareen Duvall of Middle Plantation; a genealogical history of Mareen Duvall, Gent., of the Province of Maryland and his descendants, with histories of the allied families of Tyler, Clarke, Poole, Hall, and Merriken. | 26907 views | 1952
Naval wars in the Levant, 1559-1853. | 26882 views | 1952
A standard history of Stark County, Ohio : an authentic narrative of the past, with particular attention to the modern era in the commercial, industrial, civic and social development : a chronicle of the people, with family lineage and memoirs / | 26722 views | 1916
The adolescent period; a graphic and pictorial atlas, | 26721 views | 1938
The most secret war : Army signals intelligence in Vietnam / | 26716 views | 2003
The Tinkling Spring, headwater of freedom; a study of the church and her people, 1732-1952. | 26625 views | 1954
George Macdonald and his wife, | 26603 views | 1924
A primer of Freudian psychology. | 26575 views | 1961
Gesetzsammlung für die Königlichen Preussischen Staaten | 26534 views | 1813
The Colored American magazine. | 26488 views | 1902
A history of the Seymour family : descendants of Richard Seymour of Hartford, Connecticut, for six generations ; with extensive amplification of the lines deriving from his son John Seymour of Hartford / | 26427 views | 1939
A history and genealogy of the Comstock family in America. | 26417 views | 1949
Official roster of the soldiers of the State of Ohio in the War of the Rebellion, 1861-1866 / | 26132 views | 1895
Think and grow rich; teaching, for the first time, the famous Andrew Carnegie formula for money-making, | 26090 views | 1944
Introductory circuit theory. | 25980 views | 1953
The Ladies' home journal. | 25919 views | 1898
Critical theory and performance / | 25732 views | 2007
The statutes of the realm : Printed by command of his majesty King George the Third, in pursuance of an address of the House of Commons of Great Britain. From original records and authentic manuscripts / | 25662 views | 1828
An introduction to Greek, | 25506 views | 1928
The conscience of a Conservative. | 25428 views | 1960
Lloyd's register of British and foreign shipping. | 25419 views | 1776
Optimum design of mechanical elements. | 25366 views | 1961
Official brand book of the state of Wyoming, showing all the brands on cattle, horses, mules, asses and sheep, recorded under the provisions of the act approved February 18th, 1909, and other brands recorded up to October 11th, 1912. | 25327 views | 1913
Report on the death of Vincent W. Foster, Jr. / by the Office of Independent Counsel in Re Madison Guaranty Savings and Loan Association. | 25235 views | 1997
Artists' pigments : a handbook of their history and characteristics / | 25209 views | 9999
The book of government; or, Rules for kings | 25183 views | 1960
Designing apparel through the flat pattern, | 25164 views | 1960
The Presidential Commission on the Assignment of Women in the Armed Forces : report to the President, November 15, 1992. | 25007 views | 1992
The Ladies' home journal. | 24960 views | 1921
1st division, summary of operations in the World War. | 24881 views | 1944
Origins of the Cold War : the Novikov, Kennan, and Roberts "long telegrams" of 1946 / | 24854 views | 1991
Boiler technician 3 & 2 / | 24817 views | 1992
Annual report. | 24808 views | 1862
Flow of gases through porous media. | 24795 views | 1956
Tennessee cousins; a history of Tennessee people. | 24757 views | 1950
Principles and practice of flow meter engineering | 24744 views | 1958
Harper's weekly. | 24709 views | 1878
The American kennel gazette and stud book. | 24709 views | 1922
The rise of the Chinese Empire / | 24669 views | 9999
History of York, Maine, successively known as Bristol (1632), Agamentious (1641), Gorgeana (1642), and York (1652). | 24635 views | 1967
Basic marketing | 24629 views | 1960
Official roster of the soldiers of the State of Ohio in the War of the Rebellion, 1861-1866 / | 24611 views | 1895
Management of celiac disease, | 24540 views | 1951
The Conservative mind from Burke to Eliot / | 24465 views | 1960
Operator's manual for truck, 5-ton, 6x6, M939 series (diesel) : truck, cargo, 5-ton, 6x6 ... truck, dump ... truck, tractor ... truck, van, expansible ... truck, medium wrecker .... | 24396 views | 9999
Comparative wages, prices, and cost of living : (from the Sixteenth annual report of the Massachusetts Bureau of Statistics of Labor, for 1885) / | 24350 views | 1889
An introduction to corporate accounting standards, | 24320 views | 1940
Organized crime in America : hearings before the Committee on the Judiciary, United States Senate, Ninety-eighth Congress, first session, on organized crime in America .... | 24279 views | 9999
The Hardings in America; a genealogical register of the descendants of John Harding, of England, born A. D., 1567, | 24274 views | 1925
Some emigrants to Virginia : memoranda in regard to several hundred emigrants to Virginia during the colonial period whose parentage is shown or former residence indicated by authentic records / | 24269 views | 1911
Illustrated catalogue of Seth Thomas, New Haven, E. N. Welch and Welch, Spring & Co., clocks. | 24072 views | 1878
Theory of politics : containing A treatise of human nature, book III, parts I and II, and thirteen of the Essays, moral, political and literary / | 24034 views | 1953
Moby-Dick; or, The whale. | 23975 views | 1952
Anthropometric standards : an interactive nutritional reference of body size and body composition for children and adults / | 23944 views | 2008
The vestry book and register of St. Peter's parish, New Kent and James City counties, Virginia, 1684-1786, | 23936 views | 1937
Godey's lady's book | 23903 views | 1892
Thutmose III : a new biography / | 23850 views | 2006
Fortunes in formulas, for home, farm, and workshop; the modern authority for amateur and professional; containing up-to-date selected scientific formulas, trade secrets, processes, and money-saving ideas; | 23773 views | 1939
History and genealogy of a branch of the Weaver family / | 23749 views | 1928
Harper's weekly. | 23745 views | 1889
Locomotive cyclopedia of American practice. | 23678 views | 1922
The Basye family in the United States. | 23386 views | 1950
Harper's weekly. | 23345 views | 1886
Alternating-current circuits / | 23332 views | 1951
Staten Island and its people : a history, 1609-1929 / | 23321 views | 1933
The descendants of Robert and John Poage, pioneer settlers in Augusta County, Va.; a genealogy based on the manuscript collections of Prof. Andrew Woods Williamson, Henry Martyn Williamson, and John Guy Bishop, | 23300 views | 1954
Science and life, | 23297 views | 1924
Rudder. | 23080 views | 1922
Mott's plumbing fixtures. Catalogue "A." | 23077 views | 1908
Comparative wages, prices, and cost of living : (from the Sixteenth annual report of the Massachusetts Bureau of Statistics of Labor, for 1885) / | 23050 views | 1889
The Anglo-African magazine | 23025 views | 1859
Manual on design and application of leaf springs. (SP-7) | 23017 views | 1958
Locomotive cyclopedia of American practice; definitions and typical illustrations of steam, turbine, electric and Diesel locomotives for railroads and industrial service; their parts and equipment; also locomotives built in America for operation in foreign countries; including a section on locomotive shops and engine terminals. | 23010 views | 1922
Handbook of the Indians of California. | 22954 views | 1925
The conquest of poverty, | 22930 views | 1899
Families directly descended from all the royal families in Europe (495 to 1932) and Mayflower descendants, | 22857 views | 1932
The official blue book of the Jamestown ter-centennial exposition, A. D. 1907. The only authorized history of the celebration.  Illustrated. | 22784 views | 1909
The abridged compendium of American genealogy; first families of America; a genealogical encyclopedia of the United States, | 22762 views | 9999
Puck. | 22762 views | 1877
Handbook of frame constants, beam factors and moment coefficients for members of variable section. | 22749 views | 1947
The Red book of the Exchequer / | 22720 views | 1896
The genealogy of Peiter Heyl and his descendants, 1100-1936 : with the intermarried families of Arnold, Bess, Byrd, Cansler, Carlock, Carpenter, Costner (Kestner) Davis, Freeman, Friday, Gantt (Gaunt, Ghent) Green, Hahn, Henkel, Hoffman, Hovis, Huffstetler, Jones, Klein, Lineberger (Leinberger) Mendenhall, McIntosh, Nesbitt, Payne, Patton, Peel, Peeler, Porter, Ramsour, Reinhardt, Rhyne, Reynolds, Robinson, Rudisill, Shuford, Summey, Smith, Thompson, Wells, Warlick, Weidner, and Wilfong / | 22659 views | 1938
Occupational compensation survey--pay and benefits. Rhode Island. | 22638 views | 1994
Coins of the Roman empire in the British museum. | 22594 views | 9999
Masterpieces of furniture design; a collection of measured drawings accompanied by photographs and explanatory text, of pieces of furniture selected from those on exhibition in the Metropolitan museum of art, the Brooklyn museum of arts and sciences, the Boston Museum of fine arts, the Rhode Island school of design and the Essex institute. | 22565 views | 1931
Harper's guide to Paris and the exposition of 1900; being practical suggestions concerning the trip from New York to Paris ... | 22483 views | 1900
The Tunis Hood family: its lineage and traditions. | 22429 views | 1960
The nature of Gothic : a chapter of the Stones of Venice / | 22417 views | 1892
The odes of Keats, with notes and analyses and a memoir, | 22393 views | 1969
The Ladies' home journal. | 22323 views | 1891
The chemical formulary; a condensed collection of valuable, timely, practical formulae for making thousands of products in all fields of industry. | 22281 views | 9999
Garner-Keene families of Northern Neck, Virginia / | 22245 views | 1952
The flow of homogeneous fluids through porous media, | 22130 views | 1946
History of Schuylkill County, Pa., | 22052 views | 1881
The United States practical receipt book, or, Complete book of reference : for the manufacturer, tradesman, agriculturalist or housekeeper : containing many thousand valuable receipts, in all the domestic arts / | 22019 views | 1849
The Cosmopolitan. | 22014 views | 1906
Here lies the heart. | 22010 views | 1960
Infrared absorption spectroscopy, practical. | 21998 views | 1962
The West family register : important lines traced, 1326-1928 / | 21991 views | 1928
Science and invention. | 21941 views | 1921
Precision hole location for interchangability in toolmaking and production, | 21900 views | 1946
Clinical neuroanatomy, with a method of brain reconstruction. | 21864 views | 1963
Pipe friction manual. | 21843 views | 1954
Let me live | 21833 views | 1937
Ancestry of Colonel John Harrington Stevens and his wife Frances Helen Miller / | 21780 views | 1953
Illustrated catalog of Chinese coins (gold, silver, nickel, and aluminum) | 21662 views | 1954
Registrum magni sigilli regum Scotorum : The register of the Great seal of Scotland, A.D. 1306-1668 / | 21657 views | 1914
The Coldstream Guards, 1920-1946, | 21596 views | 1951
A genealogy of the descendants of Rev. Jacob Price, evangelist, pioneer | 21582 views | 1926
The Saturday evening post. | 21555 views | 1920
Handbook of mechanical spring design. | 21520 views | 1951
Machine design, | 21490 views | 1954
Disability theory / | 21456 views | 2008
Collier's. | 21394 views | 1902
The Columbia book of yarns, | 21374 views | 1916
New departure engineering data : analysis of stresses and deflections. | 21356 views | 1946
