Top 2000 HathiTrust Closed Titles, May 2014-May 2017


Title |  Attempted Uses | Publication Date
Abyssinia of to-day : an account of the first mission sent by the American government to the court of the King of Kings (1903-1904) | 1034 views | 1906
South Carolina : a short history, 1520-1948. | 1022 views | 1945
U.S. Coast Guard and Revenue cutters, 1790-1935 / | 1021 views | 1995
A history of the birds of Suffolk, | 1014 views | 1932
An autobiography, | 1014 views | 9999
The anatomy of sea turtle / | 1013 views | 2001
The sheltering tree ... | 1008 views | 1939
The life of John Xavier Merriman, | 997 views | 1930
The life of Sir William White... | 997 views | 1923
The railway law of Canada, | 989 views | 1947
Wisconsin library bulletin. | 981 views | 1964
The world's aeroplanes and airships / | 976 views | 1930
"We generally shoot Englishmen"; an English schoolmaster's five years of mild adventure in Moscow (1915-20). | 975 views | 1936
Kitāb Sharḥ al-mabādiʾ al-Ḥusaynīyah fī uṣūl al-ḥikmah al-dīnīyah | 969 views | 1309
Spunyarn from the strands of a sailor's life afloat and ashore; forty-seven years under the ensigns of Great Britain and Turkey, | 968 views | 1924
Memories of forty-eight years' service, | 968 views | 1925
Urban retail food prices, 1914-59. | 964 views | 1960
Justice in the jungle / | 960 views | 1932
Court rolls of the manor of Wakefield ... | 958 views | 9999
With Ironside in north Russia / | 957 views | 1940
Rock-drawings of southern upper Egypt ... Sir Robert Mond desert expedition ... preliminary report, | 953 views | 1939
Calendar of the liberate rolls preserved in the Public Record Office : Henry III / | 951 views | 1964
A chapter of misfortunes : the battles of Ctesiphon and of the Dujailah in Mesopotamia, with a summary of the events which preceded them / | 951 views | 1923
The destiny of the British Empire and the U.S.A. / | 947 views | 1928
The war of the worlds / | 943 views | 1926
Higher education / | 942 views | 1946
Exhibition of Flemish & Belgian art (1300-1900) : Illustrated souvenir. | 928 views | 1927
Codicis iuris canonici fontes | 927 views | 1939
The doves' nest, and other stories, | 920 views | 1923
Morocco. | 918 views | 1941
The war's best photographs ; pictorial masterpieces of the greatest struggle the world has known. | 916 views | 1944
The book of Dunvegan, being documents from the muniment room of the MacLeods of MacLeod at Dunvegan castle, isle of Skye, | 914 views | 9999
Antaeopolis; the tombs of Qau, | 910 views | 1930
Catalogue of the International Exhibition of Chinese Art, 1935-6 ; | 909 views | 1935
The Eumorfopoulos collections; catalogue of the collection of Persian ceramics & Islamic glass, Egyptian, Greek and Roman antiquities, choice medieval & renaissance works of art, etc. | 908 views | 1940
Dame Madge Kendal, | 902 views | 1933
The correspondence of King George the Third from 1760 to December 1783, | 899 views | 1928
The improvement of the lower Mississippi river for flood control and navigation. | 895 views | 1932
Military operations, France and Belgium, 1917. | 890 views | 1948
Utilitarianism, Liberty, and Representative government. | 890 views | 1950
Roster of the Confederate soldiers of Georgia, 1861-1865 : index / | 887 views | 1982
Manāhil al-ʻurfān fī ʻulūm al-Ḳurʻān. | 886 views | 1362
Official livestock brand book of the state of Washington. | 885 views | 1952
Jack Sheppard / | 877 views | 1933
Records of clan Campbell in the military service of the Honourable East India company, 1600-1858; | 864 views | 1925
The nine guardians : a novel / | 862 views | 1992
Lyle and Jackson's Practical orthoptics in the treatment of squint (and other anomalies of binocular vision) | 856 views | 1953
The surnames of Scotland : their origin, meaning, and history / | 854 views | 1946
Yorkshire Star Chamber proceedings. | 854 views | 1909
The United States Coast Guard, 1790-1915 ; a definitive history (with postscript: 1915-1949). | 851 views | 1949
History of the Niagara peninsula and the new Welland canal. | 851 views | 1930
Bioscientific terminology: words from Latin and Greek stems | 850 views | 1972
The caste system of northern India, with special reference to the United Provinces of Agra and Oudh / | 849 views | 1931
Some rambles of a sapper. | 848 views | 1928
Colour schemes for the flower garden, | 847 views | 1925
U.S. air services. | 843 views | 1925
The letters of H. P. Blavatsky to A. P. Sinnett and other miscellaneous letters transcribed, | 842 views | 1925
The chronicles of the East India company, trading to China 1635-1834, | 841 views | 1929
Jews of medieval England, | 840 views | 1939
What's o'clock. | 837 views | 1926
The Venus tablets of Ammizaduga, | 830 views | 1928
Calendar of inquisitions miscellaneous, Chancery, preserved in the Public Record Office, | 829 views | 9999
Register of apprentices of the Worshipful company of clockmakers of the city of London from its incorporation in 1631 to its tercentenary in 1931, compiled from the records of the company by Charles Edward Atkins, master in 1897, 1909 and 1928. | 826 views | 1931
The locomotive of to-day. | 824 views | 1927
Some materials towards memoirs of the reign of King George II, | 823 views | 1931
Calendar of the Fine rolls preserved in the Public record office. | 820 views | 9999
The darvishes; or, Oriental spiritualism, | 818 views | 1927
Laughing Anne & one day more : two plays / | 814 views | 1924
Solutions manual for surface water-quality modeling / | 814 views | 1997
Price-control bill. : Hearings before the Committee on banking and currency, House of representatives, Seventy-seventh Congress, first session, on H. R. 5479 / | 810 views | 1941
World war records : First division, A.E.F., regular. | 809 views | 1928
World war records : First division, A.E.F., regular. | 806 views | 1928
La ficozza filosofica del fascismo e la marcia sulla Leonardo; libro edificante e sollazzevole. | 797 views | 1923
Analecta bollandiana. | 796 views | 9999
Spunyarn from the strands of a sailor's life afloat and ashore; forty-seven years under the ensigns of Great Britain and Turkey, | 795 views | 1924
Turkey in travail; the birth of a new nation, | 794 views | 1925
The wind and the rain : a book of confessions / | 793 views | 1924
World war records : First division, A.E.F., regular. | 787 views | 1928
Paint & colour mixing : a practical handbook for painters, decorators, paint manufacturers, artists and all who have to mix colours, containing over 300 samples of actual oil and water-paints and water-colours of various colours, and upwards of 1,500 different colour mixtures, with fifteen coloured plates / | 786 views | 1926
The poems of John Donne, | 782 views | 1933
Memālik-i ʻOsmaniyenin tarih ve coğrafiya lugati ... | 781 views | 1317
An elementary treatise on the dynamics of a particle and of rigid bodies, | 778 views | 1923
Barnacles in nature and in myth, | 774 views | 1928
The Independent reflector; or, Weekly essays on sundry important subjects, more particularly adapted to the Province of New-York, | 771 views | 1963
The building of twelve thousand houses / | 770 views | 1927
Boundaries of the Latin American republics; an annotated list of documents, 1493-1943. | 769 views | 1944
The lordship of the world; the British Empire, the United States and Germany, | 768 views | 1925
Zella sees herself / | 767 views | 1930
GWR engines; names, numbers, types, classes, etc. of Great western railway locomotives. | 766 views | 1938
The coinages of Demetrius Poliorcetes, | 762 views | 1927
Millicent Garrett Fawcett, | 760 views | 1931
The caste system of northern India, with special reference to the United Provinces of Agra and Oudh / | 759 views | 1931
Rama at Sita : isang kabanata sa epiko ng India / | 758 views | 1984
The seventeenth Earl of Oxford, 1550-1604, | 757 views | 1928
The poetical works of Walter Savage Landor / | 755 views | 1937
Mitteilungen des Deutschen Archaeologischen Instituts. | 754 views | 9999
Britain's sea soldiers. A record of the Royal marines during the war 1914-1919. | 750 views | 1927
Repertorium commentariorum in Sententias Petri Lombardi, | 747 views | 1947
The fourth forger. | 740 views | 1938
Memoirs of James Whishaw / | 739 views | 1935
Die philosophische Lehre des Platonismus / | 738 views | 9999
Old Testament criticism, its rise and progress ... a historical sketch, | 738 views | 1923
The age of revolution, 1789-1848. | 729 views | 1962
Wisconsin library bulletin. | 727 views | 1984
Bulletin de l'Institut historique belge de Rome. | 722 views | 2007
Exotic microlepidoptera. v. 1. | 720 views | 9999
Fifty-two years a policeman, | 718 views | 1926
A descriptive catalogue of the manuscripts in the Hereford Cathedral Library / | 717 views | 1927
The temple of tone; a disquisition on the scientific and artistic tonal appointment and control of concert-room, church, and theater organs, | 717 views | 1925
UCSF magazine. | 715 views | 1984
Bulletin of the Brooklyn entomological society. | 715 views | 1965
The works of Ronald Firbank. | 713 views | 1929
Calendar of inquisitions post mortem and other analogous documents preserved in the Public Record Office. [2d ser.] / | 709 views | 1898
Cornwall feet of fines ... | 708 views | 9999
Immigrants to America before 1750; an alphabetical list of immigrants to the Colonies, before 1750, compiled from official and other records. | 706 views | 9999
History of United States naval operation in World War II. | 705 views | 1962
The agave family in Sonora. | 705 views | 1972
Illustrated guide, British school. | 703 views | 1931
The life-story of a humanist, | 700 views | 1923
George Lansbury, my father, | 696 views | 1934
Calendar of the patent rolls preserved in the Public record office / | 695 views | 9999
The complete poetical works of Theodore Tilton ... with a preface on ballad-making and an appendix on old Norse myths & fables ... | 694 views | 1897
Proust. | 693 views | 1957
Asar-i tarikhi-i Tihran. | 693 views | 1361
The Antioch cup, reputed to be associated with the Holy Grail; including the story of the last Passover, traditions of the Holy Grail, Antioch and Hamath. | 690 views | 1935
Rerum Britannicarum Medii Ævi scriptores; or, Chronicles and memorials of Great Britain and Ireland during the Middle Ages. | 690 views | 1999
Life & times of C.R. Das : the story of Bengal's self-expression : being a personal memoir of the late Deshbandhu Chitta Ranjan and a complete outline of the history of Bengal for the first quarter of the twenith century / | 686 views | 1927
The foreign policy of Canning, 1822-1827; England, the neo-Holy alliance and the New World, | 678 views | 1925
Americans in the Egyptian army, | 675 views | 1938
The American temperance magazine, and Sons of Temperance offering. | 675 views | 9999
The city of Liverpool official handbook ... : 1939. | 674 views | 1939
Good morning & good night, | 673 views | 1934
Nielli, chiefly Italian of the XV century : plates, sulphur casts and prints preserved in the British Museum / | 671 views | 1936
The light side of Egypt / | 669 views | 1928
Die Weltbühne. | 659 views | 1929
The mothers : a study of the origins of sentiments and institutions / | 659 views | 1927
Memoir of Sir Dinshaw Manockjee Petit, first baronet (1823-1901), late Member of the Legislative Council of the Governor-General of India and pioneer of the textile industry in Bombay, | 658 views | 1923
Who's who in Yorkshire (North and East Ridings) | 657 views | 1935
Shakespeare's Stratford, | 657 views | 1928
From capitalism to freedom, containing a study in Marxian economics, | 656 views | 1925
Unauthorized migration : an economic development response : report of the Commission for the Study of International Migration and Cooperative Economic Development. | 655 views | 1990
Pilipino-English dictionary / | 654 views | 1978
The life & adventures of Mrs. Christian Davies, commonly called Mother Ross. | 653 views | 1928
Mabaani Falsafeh. | 653 views | 1370
Retrospects of a newspaper person, | 653 views | 1931
Genealogy of the French families of the Detroit River region revision, 1701-1936 / | 651 views | 1987
The correspondence of King George the Third from 1760 to December 1783, | 644 views | 1928
A treatise on money, | 641 views | 1930
The Pioneer. A literary magazine | 638 views | 1947
A master plan for the development of the city of Peterborough, | 636 views | 1947
Shakespeare's Roman plays and their background, | 635 views | 1925
Papers of the Military Historical Society of Massachusetts. | 634 views | 1989
The Roman republic and the founder of the empire, | 633 views | 1923
Information on the use of the Wetzel Grid: a technique for evaluating physical fitness in terms of growth and development. | 629 views | 1949
The fable of the bees; or, Private vices, publick benefits. | 629 views | 1924
Centenary exhibition of the Royal Scottish academy of painting, sculpture, and architecture, 1826-1926. | 627 views | 1926
Concilium universale Ephesenum / | 626 views | 1930
Piramun-i Khalij-i Fars va darya-yi Uman dar sad sal-i pish, 1324-1332 H.Q. | 625 views | 1371
Hip hop in American cinema / | 625 views | 2007
The abridged compendium of American genealogy; first families of America; a genealogical encyclopedia of the United States, | 623 views | 9999
President Obregón, a world reformer, | 623 views | 1923
Night-pieces; eighteen tales. | 620 views | 1935
Calendar of inquisitions post mortem and other analogous documents preserved in the Public Record Office / | 620 views | 9999
Lo̕rnamento nella̕rchitettura; ornamento scolpito--ornamento dipinto--ornamento nei suoi assiemi. | 618 views | 1927
Boletín de artes visuales. | 617 views | 1967
Carlyle at his zenith (1848-53) | 615 views | 1927
Origin and development of the microscope, as illustrated by catalogues of the instruments and accessories, in the collections of the Royal microscopical society, together with bibliographies of original authorities, 30 plates and 36 text-figures: | 612 views | 1928
The agriculture of Cuba ... | 608 views | 1942
Buku pedoman guru mengajar Pedoman Khusus bidang studi Weda : (sebagai Suplemen Kurikulum PGA Hindu 1979) / | 607 views | 1982
Parnassus biceps, or, Several choice pieces of poetry / | 605 views | 1927
A descriptive and historical account of the guild of Cordwainers of the city of London; | 603 views | 1931
The C.G.R.A. Benkelman beam procedure / | 603 views | 1959
Dirasah wa-naqd fi masa'il balaghiyah hammah. | 599 views | 1365
The rise, decline & fall of the Roman religion. | 597 views | 1925
Mass-spectra and isotopes, | 597 views | 1933
Homer Lane and the Little commonwealth, | 596 views | 1928
Les sermons universitaires parisiens de 1230-1231; contribution à l'histoire de la prédication médiévale, | 595 views | 1931
The minister who kicked the cat, | 595 views | 1932
Encyclopedia of American Quaker genealogy. | 594 views | 9999
Colloid chemistry, theoretical and applied. [Papers] by selected international contributors | 594 views | 9999
A catalogue of the gypsy books collected by the late Robert Andrew Scott Macfie, | 589 views | 1936
The opium clippers, | 588 views | 1933
Brief sketch of British Honduras, past, present and future, | 586 views | 1928
Akta Imigresen 1959/63 (Akta 155) & peraturan-peraturan ; : dan, Akta Pasport 1966 (Akta 150) : hingga 20hb Mei 2003 / | 586 views | 2003
Correspondence of Thomas Gray, | 584 views | 1935
Some tasks for education / | 584 views | 1946
Wisconsin library bulletin. | 584 views | 1966
"We twa" : reminiscences of Lord and Lady Aberdeen. | 580 views | 1925
Arctic mood; a narrative of Arctic adventures. | 580 views | 1949
Pennsylvania German pioneers; a publication of the original lists of arrivals in the port of Philadelphia from 1727 to 1808, | 580 views | 1934
The expansion of Europe, | 577 views | 1939
National Head Start S.T.E.P. teacher's manual / | 576 views | 2002
The Dravidian element in Indian culture, | 572 views | 1924
Tareekh-i Adabyaat-i Zabaan-i Arabi. | 572 views | 1368
The peoples of Asia, | 571 views | 1925
Haida myths illustrated in argillite carvings. | 565 views | 1953
Intelligence digest. | 565 views | 1942
Die philosophische Lehre des Platonismus / | 563 views | 9999
Workman's cottage to Windsor Castle, | 562 views | 1931
South Carolina, a short history, 1520-1948. | 562 views | 1961
Qasa al-Khaqani. | 562 views | 1371
Apples and pears : varieties and cultivation in 1934 / | 561 views | 1935
The Black Mountain College review. | 557 views | 1954
The allied secret service in Greece, | 556 views | 1931
Wait the withering rain? Studies in the conditions of survival and peace beyond 1976. | 556 views | 1953
Carlyle to "The French revolution" (1826-1937) | 555 views | 1924
Die Geflügelzucht. Hand- und Lehrbuch der Rassenkunde, Zucht, Pflege und Haltung von Haus-, Hof- und Parkgeflügel. | 555 views | 1927
Funny pieces, a book of random sketches, | 554 views | 1937
The principles and methods of musical criticism, | 554 views | 1923
The honourable history of Friar Bacon and Friar Bungay, | 554 views | 1927
Index londinensis to illustrations of flowering plants, ferns and fern allies, being an emended and enlarged edition continued up to the end of the year 1920 of Pritzel's Alphabetical register of representations of flowering plants and ferns compiled from botanical and horticultural publications of the XVIIIth and XIXth centuries; : prepared under the auspices of the Royal horticultural society of London at the Royal botanic gardens, Kew, / | 554 views | 1931
The chronicles of the East India company, trading to China 1635-1834, | 553 views | 1929
A history of the English house from primitive times to the Victorian period, | 553 views | 1931
British poultry husbandry, its evolution and history. | 552 views | 1930
History of the 1st & 2nd battalions, the Sherwood Foresters, Nottinghamshire and Derbyshire Regiment, 45th Foot, 95th Foot, 1740-1914. | 551 views | 1929
Monthly catalog of the United States government publications. | 550 views | 1960
Builders of peace, being ten years' history of the Union of Democratic Control, | 550 views | 1924
Grove's dictionary of music and musicians / | 549 views | 1935
Analecta bollandiana. | 549 views | 9999
Taqvīm-i meskūkāt-i seljūqīye ... | 549 views | 1309
Housing: with particular reference to post-war housing schemes. | 547 views | 1928
Wisconsin library bulletin. | 545 views | 1958
The advanced theory of statistics | 544 views | 9999
Loyalties: Mesopotamia ... a personal and historical record, | 543 views | 1936
A facsimilie of the manuscript (Or. 9777) of Dīwān i Zuʾl-Faḳār. | 543 views | 1934
Chemistry in industry; a coöperative work intended to give examples of the contributions made to industry by chemistry, | 542 views | 1926
Loyalties: Mesopotamia ... a personal and historical record, | 542 views | 1936
The works of Michael Drayton, | 542 views | 1941
Geography, map skills and environmental awareness. | 540 views | 2005
Villette, by Charlotte Brontë. | 538 views | 1924
S. Gregorii Magni Moralia in Job / | 538 views | 9999
Danger zone; the story of the Queenstown command, | 537 views | 1934
I escape! | 537 views | 1928
